,AssignmentStatus,WorkTimeInSeconds,Input.title,Input.support_statement,Input.claim,Answer.worker_warrant
47,Approved,5843,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,animals have to live in captivity in zoos where they cannot thrive in the wild
48,Approved,117,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,we will be judged by how we treated creatures less fortunate than us
49,Approved,60,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,zoos put animals behind bars
50,Approved,52,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animals are caged up with limited spaces in zoos.
51,Approved,77,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,zoos cannot provide large open spaces similar to the wild
52,Approved,41,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,zoos don't provide animals with open spaces
53,Approved,62,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animals aren't creatures that live a healthy life in confined spaces.
54,Approved,69,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animals have a right to live freely in their natural habitat.
55,Approved,60,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,"a zoo cannot possibly provide a wide, open, appropriate environment like the animals' natural habitat"
56,Approved,124,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animals have to live in suffocating and narrow spaces
57,Approved,93,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animals are naturally evolved to live in the wild they will be far happier in open spaces.
58,Approved,45,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,animal welfare needs to be more important than entertaining humans
59,Approved,46,Zoos,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.",We should abolish zoos,we should respect animal's rights
60,Approved,64,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,when the animals are not living naturally and confined to small spaces this damages the animal's physical and mental health they should not be kept that way.
61,Approved,33,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,zoos have cages and small areas
62,Approved,38,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,animals have a right to live naturally without human interference.
63,Approved,664,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,caged animals are often caught young and inhumane
64,Approved,2259,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,animals have a right to live naturally outside of a cage
65,Approved,75,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,zoos keep animals in cages where they are captive and do not thrive
66,Approved,42,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,animals are unable to survive prison conditions
67,Approved,51,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,an animal kept in captivity will suffer physically and psychologically.
68,Approved,44,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,"it's wrong, and unsustainable to cage nature"
69,Approved,30,Zoos,animals do not belong in cages and small areas where they cannot live naturally.,We should abolish zoos,zoos keep animals in small cages
70,Approved,530,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,without zoos those animals would be free.
71,Approved,54,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,it is best for animals to live in the wild where they can thrive
72,Approved,46,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,an animal kept in captivity will suffer.
73,Approved,43,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,animals have a right to live in an environment that they choose.
74,Approved,121,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,depriving animals of their liberty is morally wrong
75,Approved,132,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,animals when kept in cages the animals suffer as a result and it is not right for humans to cause suffering therefore zoos need to be eliminated.
76,Approved,238,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,freedom is a right to animal life which a zoo prohibits
77,Approved,229,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,animals have a right to be free
78,Approved,297,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,animals have a basic right to freedom.
79,Approved,27,Zoos,animals in cages without freedom is just wrong and zoos should never exist.,We should abolish zoos,keeping animals in cages is wrong
80,Approved,66,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,animals cannot adapt to live in the tiny cages
81,Approved,43,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,have a right to live freely in a habitat of their choosing.
82,Approved,42,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,animals perform best in open spaces that animals are native to
83,Approved,2267,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,animals have a right to live free in a natural habitat
84,Approved,193,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,"this restriction is unprincipled and immoral, animals suffer immensely in such an unnatural environment."
85,Approved,157,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,"zoos hold animals in small areas that are usually far from their native habitat,"
86,Approved,46,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,a cage is not a healthy place for an animal to live in.
87,Approved,58,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,zoos are restricted spaces for animals
88,Approved,67,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,it is not healthy for animals to be away from their natural habitat
89,Approved,76,Zoos,animals in the zoos are kept in restricted space far away from their original habitat,We should abolish zoos,animals should not be caged up
90,Approved,47,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,"animals fundamentally have dignity, feelings, and desires."
91,Approved,36,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,animals deserve the right to be free of human persecution
92,Approved,60,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,zoos are unable to treat animals well
93,Approved,489,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,god created animals to be free and stress is bad for their health
94,Approved,523,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,"having frequent contact with humans is harmful to animals, therefore they need to live in the wild."
95,Approved,96,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,when animals are teased and stressed by humans it has a very negative effect on them psychologically and this is not a behavior they would choose to engage in in their natural environment they should not be forcibly subjected to this.
96,Approved,38,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,zoos are stressful for animals
97,Approved,895,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,animals have a right to not be harassed
98,Approved,99,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,animals would not have to see and be stressed by humans if they lived in the wild
99,Approved,53,Zoos,animals in zoos are frequently teased and stressed by humans. these animals should be allowed to roam free in their natural habitats.,We should abolish zoos,animals lack proper conditions to live naturally in the zoos
100,Approved,67,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals that are not in zoos are neither confined nor are they typically miserable so it is unfair to cage the animals and make them feel negatively.
101,Approved,36,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,it is wrong to mistreat animals
102,Approved,98,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals should be left in their native habits where they can be happy and free
103,Approved,62,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,treating animals like this is immoral.
104,Approved,106,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals are not acquainted with tiny cages
105,Approved,35,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals deserve more than to live life under such conditions
106,Approved,60,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,zoos do not provide the large areas that animals need to roam in to thrive
107,Approved,626,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals are not in their natural habitat
108,Approved,38,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals have a right to be free and happy.
109,Approved,24,Zoos,animals in zoos are miserable and confined.,We should abolish zoos,animals shouldn't be confined and miserable
110,Approved,198,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,it is not healthy for animals to be in captivity where they must depend on humans to feed them and treat them well
111,Approved,137,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,animals should not be mistreated
112,Approved,30,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,animals are abused by visitors
113,Approved,46,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,it's cruel to mistreat those creatures weaker than we are
114,Approved,190,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,this would not happen if animals were in their natural habitat.
115,Approved,31,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,cruelty of any kind towards animals is immoral.
116,Approved,47,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,when they are malnourished and mistreated this makes them unhealthy and sad they should not be kept in zooz.
117,Approved,1390,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,zoos provide limited amount of food to animals based on their income and tourist visit
118,Approved,175,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,mistreatment of animals is something we should never allow
119,Approved,61,Zoos,animals in zoos have been repeatedly found to be malnourished and mistreated.,We should abolish zoos,animals feel pain and have a right to be treated humanely.
120,Approved,178,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,animals will not thrive in a small enclosure of a zoo like they would living in the wild
121,Approved,2266,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,animals have a right to survive and thrive
122,Approved,611,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,"they are confined and constricted, they are unable to freely flourish and express their inherent inclinations and desires, thus remaining stagnant and depressed."
123,Approved,36,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,every living creature deserves a chance to thrive
124,Approved,57,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,zoos keep animals captive and away from their natural environment
125,Approved,53,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,animals have a right to live their lives in their natural habitat.
126,Approved,53,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,zoos cannot do enough to replicate the natural habitat of animals
127,Approved,93,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,animals deserve to live natural lives
128,Approved,60,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,when animals are in small enclosures they are not allowed the freedom to live their best and most happy and productive live they should not be forced to do so.
129,Approved,142,Zoos,"animals need to be free and unrestricted, zoos offer small enclosures, denying animals the chance to survive and thrive in their own habitat.",We should abolish zoos,keeping them in cages limits their liberty
130,Approved,84,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,"animals thrive and flourish in their natural habitat, it should be noted and observed"
131,Approved,174,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,zoos keep animals confined in small cages
132,Approved,88,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,small cages cause animals to grow restless
133,Approved,31,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,animals are held captive in zoos
134,Approved,53,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,that environment cannot be caged
135,Approved,43,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,they are in the environment they evolved to live in and understand they will be far happier if they are free.
136,Approved,40,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,animals can't roam freely in zoos
137,Approved,119,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,animals are entitled to the possession of their own existence.
138,Approved,543,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,the inability to roam free is detrimental to animals
139,Approved,20,Zoos,animals need to be free to roam in their natural environment,We should abolish zoos,animals have a right to live in their natural environment.
140,Approved,26,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,zoos have cages
141,Approved,25,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,zoos cannot exist without cages
142,Approved,138,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,zoos keep animals in cages against their will and don't let them roam free.
143,Approved,141,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,zoos cage animals
144,Approved,228,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,caging restricts the movement and interaction of animals.
145,Approved,27,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,animal can't live decently in captivity.
146,Approved,227,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,animals are restricted to wander freely
147,Approved,1900,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,animals loses their animal instinct while being kept in zoos
148,Approved,335,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,caging animals limits their right to move around in their natural environment.
149,Approved,35,Zoos,animals should be allowed to roam free. they shouldn't be caged.,We should abolish zoos,zoos don't let animals roam free
150,Approved,96,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals deserve to have room to roam.
151,Approved,515,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,zoos exist for people's entertainment
152,Approved,62,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals in zoos are kept in cages
153,Approved,118,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals have a right to live in an environment they choose.
154,Approved,33,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals are confined for our entertainment in zoos
155,Approved,101,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals who live in natural habitats are happier and healthier it is wrong to confine them because it is bad for them psychologically and physically so zoos should be banned
156,Approved,149,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,animals are meant to li̇ve i̇n thei̇r natural habi̇tat
157,Approved,51,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,other than entertainment for humans there is no benefit to holding animals in cages.
158,Approved,63,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,all creatures should be free
159,Approved,2346,Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,captive animals are often fed with less healthy food due to their limited budget
160,Approved,4628,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals thrive in their natural habitat in the wild
161,Approved,59,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals should fend for themselves and not remain in captivity.
162,Approved,4,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,it is unnatural for an animal to live in a confined space.
163,Approved,76,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals in zoos aren't free to roam
164,Approved,134,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,"animals are more well adjusted in the wild than domesticated ones, it should be reflected upon"
165,Approved,49,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,nature's intention is not to entertain humans
166,Approved,41,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,it's not natural for animals to be held captive in a zoo.
167,Approved,51,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals are most happy and living their best life when they are free to roam that is the environment they are best suited to.
168,Approved,47,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals cannot roam freely as much as they do in their natural habitation
169,Approved,40,Zoos,animals should be free to roam and let nature take it's course,We should abolish zoos,animals in captivity aren't free to roam
170,Approved,230,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,"cruelty is morally wrong holding animals captive is cruelty zoos holding animals captive therefore zoos are cruel, and morally wrong, so they should be abolished"
171,Approved,92,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,animals are not meant to live in cages
172,Approved,85,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,animals are autonomous creatures with a right to choose their own environment.
173,Approved,34,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,zoos hold animals captive
174,Approved,26,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,zoos are captive environments
175,Approved,746,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,zoos are not profitable right now animals are not fed properly
176,Approved,74,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,"when animals are held captive they are being restricted from living their natural lives and this causes them physical and emotional distress, we are depriving the animals of so much when locking them up."
177,Approved,2176,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,animals don't deserve to be treated with cruelty
178,Approved,75,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,zoos cannot provide living conditions like an animals natural environment where they can run wild and thrive
179,Approved,57,Zoos,animals should be in their environment and holding them captive is cruel,We should abolish zoos,cruelty is beneath humans
180,Approved,97,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,"freedom is their natural birthright, it is unconscionable and unethical to keep them imprisoned."
181,Approved,51,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,when they are in cages they are not able to run free and get the exercise and stimulation they require they should not be kept at zoos in cages.
182,Approved,57,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,"animal are creatures just like humans, their freedom should be respected."
183,Approved,64,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,the welfare of the animals is more important than entertaining humans
184,Approved,772,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,being kept in cages is harmful to animals
185,Approved,70,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,animals have a right to live freely.
186,Approved,55,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,zoos keep animals in cages
187,Approved,99,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,wild animals are unable to live in cages under stress
188,Approved,33,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,zoos have cages
189,Approved,443,Zoos,Animals should not be kept in cages. They should be able to run free.,We should abolish zoos,zoos do not have large areas where animals can run free
190,Approved,35,Zoos,animals would no longer be held in captivity and be free to return to their natural habitat.,We should abolish zoos,zoos are not natural habitats
