AssignmentStatus,WorkTimeInSeconds,Input.title,Input.support_statement,Input.claim,Answer.worker_warrant
Approved,121,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,a low turn out could also mean people are having a protest about not feeling like they are heard or cared about.
Approved,65,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,government should represent the true wishes of the country
Approved,79,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,a true mandate helps to keep leaders accountable and prevents abuse of power
Approved,905,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,it will make everyone's voice heard
Approved,500,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,this would further help those in certain areas feel like they have a voice and are being heard.
Approved,126,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,"eligible citizens would be required to vote, the collective vote of all people would be taken into account."
Approved,3571,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,the people who vote currently are usually already doing well financially
Approved,742,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,they are there to represent everyone's interest
Approved,30,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,the needs of the whole electorate should be considered
Approved,822,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,politician will be focusing on ideas that can help the population as a whole instead on their individual interest
Approved,61,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,citizen's interests are better represented when the majority's choice is voted in
Approved,132,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,politicians should be serving all the members of a society
Approved,41,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,politicians would start caring about all the people
Approved,1483,Voting,a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,"politicians tend to only focus on the wishes of those who elected them, compulsory voting would force them to focus on everyone equally,"
Approved,63,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,people should do things to strengthen their society
Approved,1530,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,politicians are focused on needs of citizens to win their votes
Approved,1093,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,some citizens are no compelled by there right to voice there opinion a mandate needs to be put it place forcing them to for the betterment of the country thus decreasing the influence of the 1%
Approved,2386,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,bad people can take advantage of the election process if too many people are apathetic
Approved,848,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,the vote is the only way he can have his opinion heard
Approved,23,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,it is bad to not participate in the political system
Approved,21,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,it is important to have politicians who are elected by the majority of people
Approved,1113,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,"apathy is the start of the road to dictatorship and evil,"
Approved,1376,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,all citizens should be heard
Approved,28,Voting,all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.,We should introduce compulsory voting,apathy is detrimental to society
Approved,116,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,giving your citizens a say makes them believe in democracy more
Approved,112,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,this is necessary for the greater good
Approved,1562,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,we will get truer representation
Approved,127,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,penalties incentivize people to take voting as a responsibility
Approved,51,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,this will serve as an incentive for all people to vote as such penalties will act as a deterrent and compel citizens to vote.
Approved,62,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,"and since a true democracy requires that all votes  be heard, then"
Approved,39,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,all votes should be heard
Approved,333,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,there would be penalties people would come out to vote and it would help let the government know which areas it needs to improve in and which are ok.
Approved,25,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,voting should be mandatory for everyone
Approved,1140,Voting,all votes should be heard and must be obligatory for all adults and not voting must include some penalties.,We should introduce compulsory voting,"voting is important to be able to achieve a truly representative government,"
Approved,40,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,"and since voting is a duty to the nation, then"
Approved,349,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,"it would be nice if everyone used their voice and voted to influence the election. however, we must remember that we are a free country, and having the freedom to do what we want is our right as an american citizen."
Approved,31,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,citizens have a duty to the nation
Approved,1569,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,we should all serve
Approved,1185,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,"too many citizens are currently neglecting their duty to vote,"
Approved,879,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,"duty is a responsibly of every citizen it would help form more unity and loyal to your fellow county men, thus creating a more united country."
Approved,2792,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,citizens has a major contribution on electing a politician which can help them
Approved,64,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,citizens should participate in voting
Approved,2052,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,compulsory voting must represent all
Approved,28,Voting,being a citizen of your country requires you to have at least some duty to the nation.,We should introduce compulsory voting,voting is a way for citizens to contribute to their nation
Approved,57,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,each citizen's interest should be equally represented
Approved,68,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,it's fair that everyone's opinion be valued
Approved,32,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,every citizen's voice should be heard
Approved,786,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,there voice is heard they will present key issue that can be worked on to help better the area and usa as a whole
Approved,58,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,minority voices are often ignored
Approved,111,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,this is important to elect someone who represents all
Approved,21,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,it is important for every citizen to contribute their voice to elections
Approved,487,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,"too many people complain when they never actually voted,"
Approved,674,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,elected candidates is the product of people's choice and chosen to lead the country
Approved,394,Voting,by introducing compulsory voting you will assure that each and every citizen's voice is heard.,We should introduce compulsory voting,every citizen will have their preferences known
Approved,160,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,it would be better if politicians more accurately represent the public's will
Approved,50,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,politicians will be more effective if voting is required.
Approved,43,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,the public's will should be more accurately represented
Approved,3674,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,politicians which are elected performs for the interest of the citizens and not for their individual interest
Approved,69,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,"informed voters will have an impact on an election, it will ensure fairer decisions in the future and take all citizens opinions into account."
Approved,408,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,"the point of democracy is proper and true representation,"
Approved,1599,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,the public's will is the number one job of the government it would allow for a quicker reply and better handling of issue.
Approved,254,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,in a democracy the representative must defend the interests of the majorities
Approved,1929,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,"when only a minority of people vote, it increases the influence of the wealthy"
Approved,1382,Voting,"by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will.",We should introduce compulsory voting,the politician would represent all
Approved,474,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,"youth is voting less and less every generation, eroding the foundations of democracy,"
Approved,33,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,many people do not vote without laws
Approved,50,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,democracy is our chosen system of government
Approved,27,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,voting is a vital part for the democracy to work
Approved,2192,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,there would be laws in place that mandate people to vote it would allow a true return to democracy and cut down on special interest groups.
Approved,118,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,"making voting mandatory for all people, electoral participation will become more common place and expected from all citizens."
Approved,2194,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,voting ensures that government is represented by the majority of the population
Approved,228,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,the population as a whole must be heard
Submitted,44,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,people have a duty to participate in the democratic process
Approved,130,Voting,"citizens are responsible for their government and have a duty to participate in their own democracy. democracy only works when all actively participate, without laws many people do not vote.",We should introduce compulsory voting,"democracy works only when all actively participate, while without compulsory voting all people would not actively participate, so"
Approved,22,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,voting is a patriotic duty
Approved,5766,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,we enjoy the freedom and liberty enjoyed by expressing our opinions
Approved,55,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,citizens should be patriotic to their country
Approved,890,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,"patriotism and subservience to conservatism are degenerate concepts from three hundred years ago that only cause war and death, we should find other reasons to make voting compulsory, like proper minority representation,"
Approved,5267,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,election is the future of country and must be represented by its population
Approved,4921,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,it is important for citizens to do things that are patriotic like vot
Approved,50,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,every citizen owes it to the country to be a patriot
Approved,552,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,patriotic acts should be encouraged
Approved,136,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,feeling represented in government can make people feel more patriotic
Approved,46,Voting,compulsive voting is a patriotic act that must be fully complied with.,We should introduce compulsory voting,mandatory voting shows you love your country
Approved,1995,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,people being involved can make them feel like a valuable citizen
Approved,94,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,this will help voters maintain a positive perception and influence the general outcome of the election.
Approved,326,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,an election must represent the opinion of a whole
Approved,971,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,people will become proactive on promoting awareness on politician that are corrupt and educate the masses
Approved,31,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,people should be involved in the election process
Approved,54,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,essentially everyone's opinion is needed in the elections
Approved,975,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,"people involved in elections tend to have a firmer grasp of what the government is doing,"
Approved,16,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,all people should be involved in electing the representatives
Approved,2017,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,we want a fair and just election process this would help weed out the current issues such as low voter turnout.
Approved,74,Voting,compulsory  help get people involved in the election process.,We should introduce compulsory voting,it will make people more involved in elections
Approved,4617,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,all elected officials is the result of votes from the population
Approved,24,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,everyone should have a voice in elections
Approved,2055,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,giving minorities a voice can force people to understand their perspectives
Approved,22,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,everyone getting a voice would make sure everyone's wishes are recognized
Approved,109,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,"mandatory voting will be required, all citizens will show elected officials that they are equal when it comes to government decisions."
Submitted,897,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,elections should be determined by the people
Approved,1460,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,"the only threats politicians will actually listen to are threats of the loss of power, which can only be achieved by voting,"
Approved,66,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,most people do not feel like they are heard this would quickly eliminate this issue.
Approved,814,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,the election must be the result of the voice of the majority
Approved,21,Voting,compulsory voting  would get everyone a voice in the election,We should introduce compulsory voting,people's sentiment would be heard more
Approved,81,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,"making voting obligatory to all citizens, each person’s voice will be heard and valued."
Approved,83,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,citizens vote they each will have a say in how the government is run and the government will really be for and by the people
Approved,290,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,"too many people are jaded and not voting and not having their voice heard,"
Approved,245,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,everyone must overcome the minority
Approved,47,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,the opinion of every citizen counts
Approved,2789,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,voting helps to give everyone a fair chance to win where the majority stands.
Approved,23,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,citizens need a chance to make a difference
Approved,12,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,making a change is important for improvement
Approved,50,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,making a difference in the world increases people's self-esteem
Approved,127,Voting,compulsory voting allows all citizens the chance to make a difference,We should introduce compulsory voting,voting of electoral candidates is chosen individually by citizens
Approved,21,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,elections should have better results
Approved,87,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,some people do not feel heard during elections this would cut down on the high rise of people stating that elections are fixed and the president is picked without there input.
Approved,15,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,having the best results insures good elections
Approved,81,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,people are satisfied when the results reflect their actual preference
Approved,30,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,mandatory voting will make the people's preferences known
Approved,762,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,that would make everyone's opinion heard
Approved,5204,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,compulsory voting will compel people to be proactive in building a government
Approved,79,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,"that take into account the collective opinions and beliefs of the general populace, so that each voice can be heard and influence the election."
Approved,1464,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,"the whole point of elections is to get a truly representative outcome,"
Approved,169,Voting,compulsory voting can help encourage better results during elections,We should introduce compulsory voting,there wouldn't be anything to complain about in the elections
Approved,16,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,knowing how many people actually care is important
Approved,24,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,compulsory voting has an additional use
Approved,985,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,it would be used like the census it would allow funds to go to areas with more people in them thus cutting down on slums.
Approved,64,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,so that the entire population can be taken into account to not only voice their opinions but to be have their opinions heard.
Approved,195,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,"the census costs money and the government is in a deficit,"
Approved,447,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,it has multiple advantages like this
Approved,1759,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,vote counting is easiest way to count active voters in a country
Approved,61,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,resources that would be used for census are reserved
Approved,62,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,it's important for a country to know how many citizens it has
Approved,2901,Voting,compulsory voting could also be used sort of like a census to count people.,We should introduce compulsory voting,governments are better able to help people when it has accurate population numbers
Approved,1393,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,we need greater security
Approved,1287,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,"the census is expensive and compulsory voting could in essence replace the census,"
Approved,4381,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,identification is required to vote on compulsory voting
Approved,2121,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,ids would be in play it would also allow tracking of how certain areas vote so candidate could make sure there campaign is setup for each area.
Approved,30,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,it's important that everyone have a current id
Approved,1761,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,the benefits are varied and positive
Approved,110,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,"everyone will be mandated to vote, it will be an easier and more efficient way to check current ids."
Approved,13,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,many people do not have updated ids
Approved,168,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,making sure everyone is accounted for is helped by voting
Approved,76,Voting,compulsory voting could be used as a way to check population and make sure everyone has current ids.,We should introduce compulsory voting,"it is important to check that people have valid ids, then"
Approved,845,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,if people knew more about politics they would vote more wisely
Approved,1087,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,"people who know more about politics and policy make smarter, more informed decisions,"
Approved,26,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,people should learn more about politics
Approved,1029,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,you should want your citizens to be curious
Approved,23,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,mandatory voting would improve people's knowledge
Approved,26,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,people who are knowledgeable in politics are more inclined to vote
Approved,1623,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,people would increase their knowledge
Approved,933,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,a politicized population is good for the country
Approved,146,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,citizens should have knowledge of their country's political system
Approved,584,Voting,compulsory voting could improve peoples knowledge of politics if they knew they had to vote they might learn more about politics,We should introduce compulsory voting,voters will research which candidate is the best for their interest
Approved,2112,Voting,compulsory voting could improve the election process by ensuring the candidate or party with the broadest cross-generational support wins.,We should introduce compulsory voting,the same politicians must not remain in power
